compound_id,compound_name,structural_class,subfamily,property,quantity,unit,value_num,uncertainty,range_low,range_high,value_reported,scale,direction,denominator,setting,emission_band,bimodal,enzyme,enzyme_class,ph_regime,conditions,basis,secondary,provisional,superseded,source_locator,citation_key,doi,url,verification_status
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,relative light output,,see basis,,,,,"D-LH2 gave the highest specific activity with all five enzymes (ca. 10^12 photon flux/mg with WT Fluc, Fig. 4); DL-BILH2 was ~100x lower with most enzymes and ~1000x lower with CBR; DL-BIiLH2 was ~10000x lower than WT Fluc/D-LH2 and ~250000x lower with CBR",,,,,,,"wild-type Photinus pyralis firefly luciferase (Fluc), its thermostable variants x2, x5 and x11, and click beetle red luciferase (CBR); all purified by nickel-NTA chromatography",click-beetle luciferase,,"200 uM substrate + 0.167 uM enzyme in TEM buffer (100 mM Tris-acetate, 2 mM EDTA, 10 mM MgSO4) at pH 7.8; reaction started with 2 mM (saturating) ATP; PhotonIMAGER Optima (PIO) at 29 degC. Spectra acquired by integrating light for 1 min through successive 30 nm band-pass filters and spline-fitted; specific activities = light integrated over the first 2 min. Substrates dissolved to 10 mg/mL in TEM buffer (DL-BIiLH2 first dissolved in 50 uL DMSO).","specific activities (photon flux/mg) integrated over the first 2 min, Fig. 4",,,,Fig. 4,Anderson2019,10.1016/j.tet.2018.11.061,https://doi.org/10.1016/j.tet.2018.11.061,new
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,relative light output,,see basis,,,,,In vivo: 9.65 x 10^6 total photons integrated over 2700 s,,,,,,,CAG-ffLuc-cp156 transgenic mouse firefly luciferase (in vivo),wild-type firefly luciferase,,"Ioka2016 in vivo imaging: 37-week-old CAG-ffLuc-cp156 transgenic mice, somnopentyl (30 mg/kg) + luciferin (5 mM, 100 uL in sterile water) intraperitoneally; LumazoneFA (Roper Japan) in vivo imaging system; light monitored for 2700 s at exposure times of 0.5 s (1) and 60 s (6); n = 3.","Whole-animal integrated photon count printed under the mouse images of Figure 4. NOTE the exposure times differ between the two substrates (0.5 s for 1, 60 s for 6), so the ratio is an in vivo brightness comparison, not a normalised quantum comparison.",,,,Figure 4,Ioka2016,10.1002/chem.201600278,https://doi.org/10.1002/chem.201600278,new
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,absolute bioluminescence quantum yield,,-,0.41,0.074,,,0.410 +/- 0.074,,,,,,,"natural Photinus pyralis luciferase (L9506, crystallized chromatographic-grade, Sigma), 1 mg/mL in buffer + 10 % glycerol, ca. 1.7 x 10^-5 M (MW 60 kDa)",wild-type firefly luciferase,,pH 8.5 in 0.1 M Tris-HCl; room temperature 23.5-26.5 degC; D-form purity 99 % by chiral HPLC; +/-2 % uncertainty on the molecule number,"ABSOLUTE bioluminescence quantum yield = integrated area of the calibrated total-photon-flux spectrum divided by the number of luciferin molecules (2.98 x 10^11); the +/-7.4 percentage points is the +/-18 % (k = 1) spectrometer calibration uncertainty applied to 41.0 %, seven times larger than the statistical scatter",,,,,Ando2008,10.1038/nphoton.2007.251,https://doi.org/10.1038/nphoton.2007.251,confirmed
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,absolute bioluminescence quantum yield,,-,0.41,0.011,,,0.410 +/- 0.011,,,,,,,natural Photinus pyralis luciferase (Sigma L9506),wild-type firefly luciferase,,"pH 8.5, 0.1 M Tris-HCl, 23.5-26.5 degC.",,,,,,Ando2008,10.1038/nphoton.2007.251,https://doi.org/10.1038/nphoton.2007.251,confirmed
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,absolute bioluminescence quantum yield,,-,0.48,0.039,,,0.48 +/- 0.039,,,,,,,"Photinus pyralis luciferase, native",wild-type firefly luciferase,,"24 degC, pH 8.0; relative standard uncertainty of the QY measurements approximately 15%; luminometer calibrated absolutely against an integrating-sphere spectrometer; Table 1",absolute bioluminescence quantum yield; ref [33] = Niwa 2010b,,,,Table 1,Niwa2023,10.3390/bios13020223,https://doi.org/10.3390/bios13020223,confirmed
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,absolute bioluminescence quantum yield,,-,0.45,0.055,,,0.45 +/- 0.055,,,,,,,"Pyrocoelia miyako luciferase, wild type",wild-type firefly luciferase,,"24 degC, pH 8.0; relative standard uncertainty of the QY measurements approximately 15%; luminometer calibrated absolutely against an integrating-sphere spectrometer; Table 1",absolute bioluminescence quantum yield; ref [48],,,,Table 1,Niwa2023,10.3390/bios13020223,https://doi.org/10.3390/bios13020223,confirmed
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,absolute bioluminescence quantum yield,,-,0.61,0.019,,,0.61 +/- 0.019,,,,,,,"Pyrearinus termitilluminans luciferase, wild type",click-beetle luciferase,,"24 degC, pH 8.0; relative standard uncertainty of the QY measurements approximately 15%; luminometer calibrated absolutely against an integrating-sphere spectrometer; Table 1",absolute bioluminescence quantum yield; ref [48],,,,Table 1,Niwa2023,10.3390/bios13020223,https://doi.org/10.3390/bios13020223,confirmed
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,absolute bioluminescence quantum yield,,-,0.15,0.017,,,0.15 +/- 0.017,,,,,,,"Phrixothrix hirtus luciferase, wild type",wild-type firefly luciferase,,"24 degC, pH 8.0; relative standard uncertainty of the QY measurements approximately 15%; luminometer calibrated absolutely against an integrating-sphere spectrometer; Table 1",absolute bioluminescence quantum yield; ref [48],,,,Table 1,Niwa2023,10.3390/bios13020223,https://doi.org/10.3390/bios13020223,confirmed
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,absolute bioluminescence quantum yield,,-,0.21,0.0072,,,0.21 +/- 0.0072,,,,,,,Pyrocoelia miyako luciferase mutant N230S,engineered firefly luciferase,,"24 degC, pH 8.0; relative standard uncertainty of the QY measurements approximately 15%; luminometer calibrated absolutely against an integrating-sphere spectrometer; Table 1",absolute bioluminescence quantum yield; ref [48],,,,Table 1,Niwa2023,10.3390/bios13020223,https://doi.org/10.3390/bios13020223,confirmed
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,absolute bioluminescence quantum yield,,-,0.48,0.056,,,0.48 +/- 0.056,,,,,,,Pyrocoelia miyako luciferase mutant S199T,engineered firefly luciferase,,"24 degC, pH 8.0; relative standard uncertainty of the QY measurements approximately 15%; luminometer calibrated absolutely against an integrating-sphere spectrometer; Table 1",absolute bioluminescence quantum yield; ref [48],,,,Table 1,Niwa2023,10.3390/bios13020223,https://doi.org/10.3390/bios13020223,confirmed
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,absolute bioluminescence quantum yield,,-,0.46,0.036,,,0.46 +/- 0.036,,,,,,,Pyrocoelia miyako luciferase mutant S200A,engineered firefly luciferase,,"24 degC, pH 8.0; relative standard uncertainty of the QY measurements approximately 15%; luminometer calibrated absolutely against an integrating-sphere spectrometer; Table 1",absolute bioluminescence quantum yield; ref [48],,,,Table 1,Niwa2023,10.3390/bios13020223,https://doi.org/10.3390/bios13020223,confirmed
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,absolute bioluminescence quantum yield,,-,0.476,,,,0.476,,,,,,,Photinus pyralis luciferase purified from natural fireflies (Sigma),wild-type firefly luciferase,,,"THE PROVENANCE IS NOW SETTLED: 0.476 is Wang 2011's value, not Ando 2008's. See quantum_yield_provenance.",,,,,Kiyama2018,10.1016/j.tet.2017.11.051,https://doi.org/10.1016/j.tet.2017.11.051,confirmed
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,absolute bioluminescence quantum yield,,-,0.48,,,,0.48,,,,,,,Photinus pyralis luciferase,wild-type firefly luciferase,,,,,,,,Kiyama2018,10.1016/j.tet.2017.11.051,https://doi.org/10.1016/j.tet.2017.11.051,confirmed
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,absolute bioluminescence quantum yield,,-,0.41,,,,0.41,,,,,,,firefly luciferase,wild-type firefly luciferase,,,Quoted in the Ioka introduction as phi_BL = 41 %.,,,,,Miura2013,10.1016/j.tet.2013.09.018,https://doi.org/10.1016/j.tet.2013.09.018,confirmed
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,absolute bioluminescence quantum yield,,-,0.41,,,,0.41,,,,,,,firefly luciferase,wild-type firefly luciferase,,stated as phi_BL = 41%,,,,,,Ioka2016,10.1002/chem.201600278,https://doi.org/10.1002/chem.201600278,secondary
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,absolute bioluminescence quantum yield,,-,0.415,,,,0.415,,,,,,,firefly luciferase,wild-type firefly luciferase,,Ando et al. is cited separately (ref 5) later in the paper for the pH dependence of the bioluminescence quantum yield.,"bioluminescence quantum yield of the reaction, Phi_bl",,,,,Takakura2012,10.1002/cbic.201200142,https://doi.org/10.1002/cbic.201200142,confirmed
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,absolute bioluminescence quantum yield,,-,0.88,0.25,,,0.88 +/- 0.25,,,,,,,Photinus pyralis luciferase (Seliger & McElroy 1959),wild-type firefly luciferase,,"pH 7.6. Ando 2008 states the luciferin was ca. 50 % racemized, which would force a recalculation to an impossible 176 %","HISTORICAL, SUPERSEDED - Seliger & McElroy value quoted and rejected by Ando 2008",,,TRUE,,Ando2008,10.1038/nphoton.2007.251,https://doi.org/10.1038/nphoton.2007.251,confirmed
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,absolute bioluminescence quantum yield,,-,0.48,,,,0.48,,,,,,,Photinus pyralis luciferase,wild-type firefly luciferase,,same P. pyralis BL reaction solution; explicitly stated to agree with Ando et al. within the measurement uncertainty,cross-check measurement with a luminometer calibrated absolutely against an integrating sphere,,,,,Niwa2023,10.3390/bios13020223,https://doi.org/10.3390/bios13020223,new
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,absolute bioluminescence quantum yield,,-,0.61,0.019,,,0.61 +/- 0.019,,,,,,,Pyrearinus termitilluminans luciferase (Pyt),click-beetle luciferase,,"pH 8.0, 24 degC, PicaGene reagent; absolutely calibrated luminometer / integrating-sphere spectrometer; Table 1",absolute bioluminescence quantum yield with an absolutely calibrated luminometer,,,,Table 1,Niwa2010,10.1111/j.1751-1097.2010.00777.x,https://doi.org/10.1111/j.1751-1097.2010.00777.x,new
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,absolute bioluminescence quantum yield,,-,0.15,0.017,,,0.15 +/- 0.017,,,,,,,Phrixothrix hirtus luciferase (PhRE),wild-type firefly luciferase,,"pH 8.0, 24 degC, PicaGene reagent; absolutely calibrated luminometer / integrating-sphere spectrometer; Table 1",absolute bioluminescence quantum yield with an absolutely calibrated luminometer,,,,Table 1,Niwa2010,10.1111/j.1751-1097.2010.00777.x,https://doi.org/10.1111/j.1751-1097.2010.00777.x,new
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,absolute bioluminescence quantum yield,,-,0.45,0.055,,,0.45 +/- 0.055,,,,,,,Pyrocoelia miyako luciferase wild type (Pmy-WT),wild-type firefly luciferase,,"pH 8.0, 24 degC, PicaGene reagent; absolutely calibrated luminometer / integrating-sphere spectrometer; Table 1",absolute bioluminescence quantum yield with an absolutely calibrated luminometer,,,,Table 1,Niwa2010,10.1111/j.1751-1097.2010.00777.x,https://doi.org/10.1111/j.1751-1097.2010.00777.x,new
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,absolute bioluminescence quantum yield,,-,0.21,0.0072,,,0.21 +/- 0.0072,,,,,,,Pyrocoelia miyako luciferase mutant N230S,engineered firefly luciferase,,"pH 8.0, 24 degC, PicaGene reagent; absolutely calibrated luminometer / integrating-sphere spectrometer; Table 1",absolute bioluminescence quantum yield with an absolutely calibrated luminometer,,,,Table 1,Niwa2010,10.1111/j.1751-1097.2010.00777.x,https://doi.org/10.1111/j.1751-1097.2010.00777.x,new
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,absolute bioluminescence quantum yield,,-,0.48,0.056,,,0.48 +/- 0.056,,,,,,,Pyrocoelia miyako luciferase mutant S199T,engineered firefly luciferase,,"pH 8.0, 24 degC, PicaGene reagent; absolutely calibrated luminometer / integrating-sphere spectrometer; Table 1",absolute bioluminescence quantum yield with an absolutely calibrated luminometer,,,,Table 1,Niwa2010,10.1111/j.1751-1097.2010.00777.x,https://doi.org/10.1111/j.1751-1097.2010.00777.x,new
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,absolute bioluminescence quantum yield,,-,0.46,0.036,,,0.46 +/- 0.036,,,,,,,Pyrocoelia miyako luciferase mutant S200A,engineered firefly luciferase,,"pH 8.0, 24 degC, PicaGene reagent; absolutely calibrated luminometer / integrating-sphere spectrometer; Table 1",absolute bioluminescence quantum yield with an absolutely calibrated luminometer,,,,Table 1,Niwa2010,10.1111/j.1751-1097.2010.00777.x,https://doi.org/10.1111/j.1751-1097.2010.00777.x,new
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,absolute bioluminescence quantum yield,,-,0.45,0.055,,,0.45 +/- 0.055,,,,,,,"Photinus pyralis luciferase, recombinant (Ppy-rec)",wild-type firefly luciferase,,"pH 8.0, 24 degC, PicaGene reagent; absolutely calibrated luminometer / integrating-sphere spectrometer; Table 1",absolute bioluminescence quantum yield with an absolutely calibrated luminometer,,,,Table 1,Niwa2010,10.1111/j.1751-1097.2010.00777.x,https://doi.org/10.1111/j.1751-1097.2010.00777.x,new
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,absolute bioluminescence quantum yield,,-,0.48,0.039,,,0.48 +/- 0.039,,,,,,,"Photinus pyralis luciferase, native (Ppy-nat)",wild-type firefly luciferase,,"pH 8.0, 24 degC, PicaGene reagent; absolutely calibrated luminometer / integrating-sphere spectrometer; Table 1",absolute bioluminescence quantum yield with an absolutely calibrated luminometer,,,,Table 1,Niwa2010,10.1111/j.1751-1097.2010.00777.x,https://doi.org/10.1111/j.1751-1097.2010.00777.x,new
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,absolute bioluminescence quantum yield,,-,0.88,0.25,,,0.88 +/- 0.25,,,,,,,firefly (Photinus pyralis) luciferase,wild-type firefly luciferase,,"purified natural firefly luciferin. Quoted in Seliger 1961 with reference 5 (Seliger & McElroy), i.e. reported here but originating in the cited earlier work.",absolute bioluminescence quantum yield = number of light quanta emitted per luciferin molecule oxidized. The authors state it is a LOWER LIMIT.,,,TRUE,,Seliger1961,,https://pmc.ncbi.nlm.nih.gov/articles/PMC223109/,new
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,absolute bioluminescence quantum yield,,-,0.476,,,,0.476,,,,,,,"Photinus pyralis luciferase (Sigma, purified from natural firefly), 1.0 x 10^-6 M final",wild-type firefly luciferase,,"5 mM Mg2+, GTA-NaOH buffer pH 8.0 (0.05 M each of 3,3-dimethylglutaric acid, 2-amino-2-hydroxymethyl-1,3-propanediol and 2-amino-2-methyl-1,3-propanediol), 24 +/- 1 C; final luciferin 3.8 x 10^-9 M, ATP 5.0 x 10^-4 M","absolute bioluminescence quantum yield from calibrated total-photon-flux CCD spectrometry; photons counted from 2.26 x 10^11 luciferin molecules, >99% of the D-luciferin confirmed consumed",,,,,Wang2011,10.1111/j.1751-1097.2011.00931.x,https://doi.org/10.1111/j.1751-1097.2011.00931.x,new
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,absolute bioluminescence quantum yield,,-,0.41,,,,0.41,fraction; the source prints 41.0% +/- 7.4%,,,,,,North American firefly (Photinus pyralis) luciferase,wild-type firefly luciferase,,quantitative total-photon-flux bioluminescence spectrometry,"(their ref 10), the measurement that displaced the classical 88% value",,,,,Wang2011,10.1111/j.1751-1097.2011.00931.x,https://doi.org/10.1111/j.1751-1097.2011.00931.x,new
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,absolute bioluminescence quantum yield,,-,0.48,,,,"0.48 (relative standard uncertainty ca. 15%, i.e. ca. +/- 0.07; reproducibility CV 8.1%, n = 5)",,,,,,,Photinus pyralis luciferase (Sigma-Aldrich L9506),wild-type firefly luciferase,,"0.1 M Tris-HCl pH 8.0; 10 uL of 1 x 10^-8 mol/L D-luciferin (6.02 x 10^10 molecules) + 10 uL of 1.5 x 10^-5 mol/L luciferase, triggered with 80 uL ATP-Mg (3 mM ATP disodium salt, 8 mM MgSO4, 0.1 M Tris-HCl pH 8.0); reaction complete within ca. 4 min; complete consumption confirmed by HPLC","ABSOLUTE; luminometer (ATTO AB-2200) calibrated in counts per photon against a same-system reference solution measured simultaneously in an integrating-sphere multichannel spectrometer traceable to a spectral irradiance standard lamp. Table 1 value 0.48 from 2.89 x 10^10 photons per 6.02 x 10^10 reacted D-luciferin molecules. CV 8.1 %, n = 5 (the third entry of the list, which follows the table order L. mingrelica / L. cruciata / P. pyralis) - confirmed",,,,Table 1,Niwa2010b,10.1246/cl.2010.291,https://doi.org/10.1246/cl.2010.291,confirmed
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,absolute bioluminescence quantum yield,,-,0.43,,,,0.43,,,,,,,Luciola mingrelica luciferase (Sigma-Aldrich L4899),wild-type firefly luciferase,,"0.1 M Tris-HCl pH 8.0; 10 uL of 1e-8 mol/L D-luciferin (6.02e10 molecules) + 10 uL of 1.5e-5 mol/L luciferase, reaction started with 80 uL of ATP-Mg solution (3 mM ATP disodium salt, 8 mM MgSO4, 0.1 M Tris-HCl pH 8.0); reaction complete within about 4 min. TEMPERATURE IS NOT STATED ANYWHERE IN THE PAPER. Reproducibility CV 3.4%, n = 6; overall relative standard uncertainty ca. 15%.","ABSOLUTE. Luminometer (ATTO AB-2200) whose absolute responsivity (counts per photon) was calibrated against a - the same firefly luciferin-luciferase system in PicaGene reagent - one aliquot of which was measured simultaneously in an integrating-sphere / cooled-CCD multichannel spectrometer traceable to a spectral irradiance standard lamp. Same-system spectral matching removes the need for a spectral correction; reabsorption is negligible because of the large Stokes shift. Quantum yield = time-integrated photons / number of reacted D-luciferin molecules (6.02e10), complete consumption confirmed by HPLC.",,,,,Niwa2010b,10.1246/cl.2010.291,https://doi.org/10.1246/cl.2010.291,new
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,absolute bioluminescence quantum yield,,-,0.43,,,,ca. 0.43 at pH 8.0; ca. 0.35 at pH 7.4; ca. 0.285 at pH 6.8; ca. 0.17 at pH 6.2,,,,,,,"Photinus pyralis luciferase (Sigma-Aldrich SRE0045, 62 kDa), 1 mg/mL in pH 8.0 GTA + 10 % glycerol, estimated 1.6 x 10^-5 M, final 8.0 x 10^-7 M",wild-type firefly luciferase,,"0.15 M GTA buffer (0.05 M 3,3-dimethylglutaric acid / 0.05 M Tris / 0.05 M 2-amino-2-methyl-1,3-propanediol), pH 8.0 / 7.4 / 6.8 / 6.2, 25 +/- 1 degC; 5 uL of 1.0 x 10^-6 M D-luciferin (FUJIFILM Wako sodium salt, 99 % purity) + 5 uL luciferase + 5 uL 0.1 M MgSO4 + 35 uL 0.15 M GTA, triggered with 50 uL of 1.0 x 10^-3 M ATP; final D-luciferin 5.0 x 10^-8 M = 2.98 x 10^12 molecules, final Mg 5.0 mM, final ATP 5.0 x 10^-4 M; 30 x 3 min exposures over 90 min; >99 % consumption verified with fresh luciferase","ABSOLUTE, measured by Ono et al. themselves on the same calibrated total-photon-flux spectrometer (450-950 nm, total calibration uncertainty +/-12.7 %, k = 1) as their d-AkaLumine value. This is the internally consistent comparator for the AkaLumine ratio.",,,,Fig. 3,Ono2023,10.1016/j.jphotochem.2022.114270,https://doi.org/10.1016/j.jphotochem.2022.114270,confirmed
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,absolute bioluminescence quantum yield,,-,0.41,0.074,,,0.410 +/- 0.074 at pH 8.5,,,,,,,Photinus pyralis native luciferase,wild-type firefly luciferase,,"quoted by Ono2023 as the comparator for its 1/10 statement, and by Niwa2010b as the prior literature value",[also reported in Niwa2010b],,,,,Ono2023,10.1016/j.jphotochem.2022.114270,https://doi.org/10.1016/j.jphotochem.2022.114270,new
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,absolute bioluminescence quantum yield,,-,0.88,,,,0.88,,,,,,,firefly luciferase,wild-type firefly luciferase,,"quoted only as the superseded historical value; no pH given in Niwa2010b (Seliger & McElroy's own pH was 7.6, per Ando 2008)",,,,TRUE,,Niwa2010b,10.1246/cl.2010.291,https://doi.org/10.1246/cl.2010.291,confirmed
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,absolute bioluminescence quantum yield,,-,0.9,,,,~0.9,,,,,,,firefly luciferase (Photinus pyralis),wild-type firefly luciferase,,no conditions given; a statement about the reaction in general.,"Biochem. Biophys. 1960, 88, 136. This is the old high value; contrast the 41 % that Ioka2016 quotes from Ando2008.",,,TRUE,,Shinde2006,10.1021/bi060475o,https://doi.org/10.1021/bi060475o,new
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,absolute bioluminescence quantum yield,,-,0.476,0.072,,,0.476 +/- 0.072 (k = 1),,,,,,,"Photinus pyralis luciferase purified from natural fireflies (Sigma, ca. 60 kDa), 1 mg/mL in 0.15 M GTA + 10 % glycerol, estimated 2 x 10^-5 M, final 1 x 10^-6 M",wild-type firefly luciferase,,"0.15 M GTA-NaOH buffer (0.05 M 3,3-dimethylglutaric acid / 0.05 M Tris / 0.05 M 2-amino-2-methyl-1,3-propanediol), pH 8.0 (all solutions re-measured after reaction, 8.00 +/- 0.08 SD), 24 +/- 1 degC, 5 mM Mg2+ (from MgSO4); D-luciferin sodium salt (Wako, HPLC 99.0 % purity) diluted to 7.5 x 10^-8 M and used within 4 h, concentration set by log(OD327) = 4.27; 5 uL luciferin + 5 uL luciferase + 5 uL metal salt + 35 uL GTA, triggered with 50 uL of 1.0 x 10^-3 M ATP (total 100 uL); final luciferin 3.8 x 10^-9 M (2.26 x 10^11 molecules), final luciferase 1 x 10^-6 M, final ATP 5.0 x 10^-4 M; >99 % of the D-luciferin consumed.","ABSOLUTE. Integrated area of the calibrated total-photon-flux spectrum divided by 2.26 x 10^11 luciferin molecules, on the Ando-type integrating spectrometer rebuilt with a higher-full-well CCD (Spec-10:400BR, liquid-nitrogen cooled to -120 degC) and an independent recalibration; the quoted +/-7.2 percentage points is the 15 % (k = 1) calibration uncertainty applied to 47.6 %. Calibration chain: light-collection efficiency of the cell 0.279 % +/- 0.015 %, slit transmissivity 5.74 % +/- 0.08 %, absolute sensitivity 19.6 +/- 1.7 photons per count; replacing the power meter with an AIST-calibrated photodiode cut the power-measurement uncertainty from 5 % to 0.9 % (this is why Wang's 15 % is smaller than Ando's 18 %)",,,,,Wang2011,10.1111/j.1751-1097.2011.00931.x,https://doi.org/10.1111/j.1751-1097.2011.00931.x,new
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,absolute bioluminescence quantum yield,,-,,,,,"metal-ion dependence at pH 8.0: essentially constant (ca. 45-50 %) for Mg2+, Ca2+ and Mn2+ over 0.01-10 mM; below 10 % with 3 mM Zn2+ or Cd2+; still above 20 % with equal (ca. 3 mM) amounts of Ni2+, Co2+ or Fe2+; below 5 % with only 2.5 x 10^-5 M Hg2+. Half-maximal quenching needs about 1 mM Zn2+ or Cd2+, or about 4 mM Ni2+, Co2+ or Fe2+",,,,,,,"Photinus pyralis luciferase purified from natural fireflies (Sigma, ca. 60 kDa), 1 mg/mL in 0.15 M GTA + 10 % glycerol, estimated 2 x 10^-5 M, final 1 x 10^-6 M",wild-type firefly luciferase,,"0.15 M GTA-NaOH buffer (0.05 M 3,3-dimethylglutaric acid / 0.05 M Tris / 0.05 M 2-amino-2-methyl-1,3-propanediol), pH 8.0 (all solutions re-measured after reaction, 8.00 +/- 0.08 SD), 24 +/- 1 degC, 5 mM Mg2+ (from MgSO4); D-luciferin sodium salt (Wako, HPLC 99.0 % purity) diluted to 7.5 x 10^-8 M and used within 4 h, concentration set by log(OD327) = 4.27; 5 uL luciferin + 5 uL luciferase + 5 uL metal salt + 35 uL GTA, triggered with 50 uL of 1.0 x 10^-3 M ATP (total 100 uL); final luciferin 3.8 x 10^-9 M (2.26 x 10^11 molecules), final luciferase 1 x 10^-6 M, final ATP 5.0 x 10^-4 M; >99 % of the D-luciferin consumed; metal ion final concentration 1.0 x 10^-5 to 2.0 x 10^-2 M, premixed into the ATP trigger for Fe/Co/Ni/Zn/Cd/Hg to avoid progressive luciferase inactivation","quantum yields measured separately for each ion, i.e. decoupled from the reaction rate, which is what makes this different from all earlier metal-ion studies. Sensitivity order Hg2+ > Zn2+, Cd2+ > Ni2+, Co2+, Fe2+ >> Mg2+, Mn2+, Ca2+",,,,,Wang2011,10.1111/j.1751-1097.2011.00931.x,https://doi.org/10.1111/j.1751-1097.2011.00931.x,new
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,non-enzymatic chemiluminescence,,nm or text,,,,,,,,,,,,,,unstated,,,,,,,Conley2012,10.1002/anie.201105653,https://pmc.ncbi.nlm.nih.gov/articles/PMC3494413/,confirmed
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,non-enzymatic chemiluminescence,,nm or text,595.0,,,,595,,,,,,,,,unstated,"methyl ester 2.5 mM in DMSO (200 uL) mixed with t-BuOK 250 mM in DMSO (200 uL), final 1.25 mM ester / 125 mM t-BuOK, under air; AB-1850, 180 s exposure",chemiluminescence emission maximum of the luciferin METHYL ESTER,,,,,Kitada2020,10.1002/chir.23236,https://doi.org/10.1002/chir.23236,confirmed
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,non-enzymatic chemiluminescence,,nm or text,585.0,,,,585,,,,,,,,,unstated,"Chemiluminescence of the luciferin METHYL ESTER (compound 1a), no enzyme: methyl ester 2.5 mM in DMSO (200 uL) + t-BuOK 250 mM in DMSO (40 uL); FINAL 1.25 mM ester and 125 mM t-BuOK; ATTO AB-1850 spectrophotometer, slit 1.0 mm, 180 s exposure.",chemiluminescence emission maximum of the luciferin METHYL ESTER,,,,Table 1,Kitada2018,10.1016/j.tetlet.2018.01.078,https://doi.org/10.1016/j.tetlet.2018.01.078,confirmed
NAT01,D-Luciferin,Natural luciferin and its stereoisomers,benzothiazole,non-enzymatic chemiluminescence,,nm or text,620.0,,,,620,,,,,,,,,unstated,"chemiluminescence of the FREE acid with T3P/NEt3: 150 uL T3P (150 mM) in DMF injected into 40 uL substrate (20 mM) in DMF + 40 uL NEt3 (500 mM) in DMF; ATTO AB-1850, 400-750 nm, 1 nm steps, 180 s",chemiluminescence emission maximum of the FREE acid with T3P/NEt3 (Table 2),,,,Table 2,Saito2019,10.1246/bcsj.20180350,https://doi.org/10.1246/bcsj.20180350,new
